No,Kode,NamaPerusahaan,papanPencatatan,Sektor,numSelisih,numPenutupan,numGainers,Gainers,numVolume,Volume,numNilai,Nilai,numFreq,Freq
232,DPNS,Duta Pertiwi Nusantara Tbk.,Utama,Basic Materials,-6,400,-1.48%,gainersRendah,418800,volumeRendah,165000200,nilaiRendah,143,freqRendah
233,DPUM,Dua Putra Utama Makmur Tbk.,Pengembangan,Noncyc,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
234,DRMA,Dharma Polimetal Tbk.,Utama,Cyclic,-5,645,-0.77%,gainersRendah,26566200,volumeSedang volumeRendah,17215453000,nilaiSedang nilaiRendah,692,freqRendah
235,DSFI,Dharma Samudera Fishing Industries Tbk.,Utama,Noncyc,0,90,0.00%,gainersRendah,2184300,volumeRendah,194783400,nilaiRendah,208,freqRendah
236,DSNG,Dharma Satya Nusantara Tbk.,Utama,Noncyc,-5,590,-0.84%,gainersRendah,18169900,volumeRendah,10735632000,nilaiRendah,1410,freqRendah
237,DSSA,Dian Swastatika Sentosa Tbk,Utama,Energy,0,39000,0.00%,gainersRendah,100,volumeRendah,3900000,nilaiRendah,1,freqRendah
238,DUCK,Jaya Bersama Indo Tbk.,Pengembangan,Cyclic,0,176,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
239,DUTI,Duta Pertiwi Tbk,Pengembangan,Properties & Real Estate,-10,3960,-0.25%,gainersRendah,1200,volumeRendah,4752000,nilaiRendah,1,freqRendah
240,DVLA,Darya-Varia Laboratoria Tbk.,Utama,Healthcare,-10,2480,-0.40%,gainersRendah,10300,volumeRendah,25507000,nilaiRendah,39,freqRendah
241,DWGL,Dwi Guna Laksana Tbk.,Pengembangan,Energy,-2,210,-0.94%,gainersRendah,11300,volumeRendah,2407000,nilaiRendah,33,freqRendah
242,DYAN,Dyandra Media International Tbk.,Utama,Industrials,3,99,3.13%,gainersSedang gainersRendah,22935200,volumeSedang volumeRendah,2281305400,nilaiRendah,1056,freqRendah
243,EAST,Eastparc Hotel Tbk.,Pengembangan,Cyclic,-2,99,-1.98%,gainersRendah,2623800,volumeRendah,261842300,nilaiRendah,337,freqRendah
244,ECII,Electronic City Indonesia Tbk.,Pengembangan,Cyclic,0,472,0.00%,gainersRendah,17800,volumeRendah,8581600,nilaiRendah,37,freqRendah
245,EDGE,Indointernet Tbk.,Pengembangan,Technology,125,20600,0.61%,gainersRendah,2600,volumeRendah,52700000,nilaiRendah,15,freqRendah
246,EKAD,Ekadharma International Tbk.,Utama,Basic Materials,2,274,0.74%,gainersRendah,633100,volumeRendah,174134400,nilaiRendah,160,freqRendah
247,ELPI,Pelayaran Nasional Ekalya Purnamasari Tbk.,Utama,Transportation & Logistic,6,210,2.94%,gainersSedang gainersRendah,9677200,volumeRendah,2016978400,nilaiRendah,897,freqRendah
248,ELSA,Elnusa Tbk.,Utama,Energy,10,394,2.60%,gainersSedang gainersRendah,229608700,volumeSedang volumeRendah,88753469600,nilaiSedang nilaiRendah,10311,freqSedang freqRendah
249,ELTY,Bakrieland Development Tbk.,Pengembangan,Properties & Real Estate,0,50,0.00%,gainersRendah,23200,volumeRendah,1160000,nilaiRendah,5,freqRendah
250,EMDE,Megapolitan Developments Tbk.,Pengembangan,Properties & Real Estate,4,140,2.94%,gainersSedang gainersRendah,15200,volumeRendah,2048000,nilaiRendah,17,freqRendah
251,EMTK,Elang Mahkota Teknologi Tbk.,Utama,Technology,-30,1640,-1.80%,gainersRendah,37474000,volumeSedang volumeRendah,61190982500,nilaiSedang nilaiRendah,7480,freqSedang freqRendah
252,ENAK,Champ Resto Indonesia Tbk.,Pengembangan,Cyclic,-115,1875,-5.78%,gainersRendah,3673600,volumeRendah,7107792500,nilaiRendah,690,freqRendah
253,ENRG,Energi Mega Persada Tbk.,Pengembangan,Energy,-16,378,-4.06%,gainersRendah,186703100,volumeSedang volumeRendah,71373746000,nilaiSedang nilaiRendah,7101,freqSedang freqRendah
254,ENVY,Envy Technologies Indonesia Tbk.,Pengembangan,Technology,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
255,ENZO,Morenzo Abadi Perkasa Tbk.,Pengembangan,Noncyc,0,63,0.00%,gainersRendah,3858200,volumeRendah,242254500,nilaiRendah,369,freqRendah
256,EPAC,Megalestari Epack Sentosaraya Tbk.,Pengembangan,Basic Materials,0,50,0.00%,gainersRendah,500,volumeRendah,25000,nilaiRendah,2,freqRendah
257,EPMT,Enseval Putera Megatrading Tbk.,Pengembangan,Noncyc,0,2720,0.00%,gainersRendah,20200,volumeRendah,55018000,nilaiRendah,14,freqRendah
258,ERAA,Erajaya Swasembada Tbk.,Utama,Cyclic,0,414,0.00%,gainersRendah,5524400,volumeRendah,2286807600,nilaiRendah,1595,freqRendah
259,ERTX,Eratex Djaja Tbk.,Pengembangan,Cyclic,0,198,0.00%,gainersRendah,83100,volumeRendah,16210100,nilaiRendah,79,freqRendah
260,ESIP,Sinergi Inti Plastindo Tbk.,Pengembangan,Basic Materials,-3,64,-4.48%,gainersRendah,10107800,volumeRendah,656557200,nilaiRendah,888,freqRendah
261,ESSA,Surya Esa Perkasa Tbk.,Utama,Basic Materials,-35,1115,-3.04%,gainersRendah,31061500,volumeSedang volumeRendah,34812275000,nilaiSedang nilaiRendah,4237,freqSedang freqRendah
262,ESTA,Esta Multi Usaha Tbk.,Pengembangan,Cyclic,-3,108,-2.70%,gainersRendah,26690100,volumeSedang volumeRendah,2903320000,nilaiRendah,1192,freqRendah
263,ESTI,Ever Shine Tex Tbk.,Utama,Cyclic,-1,63,-1.56%,gainersRendah,664700,volumeRendah,41943600,nilaiRendah,148,freqRendah
264,ETWA,Eterindo Wahanatama Tbk,Pengembangan,Energy,8,258,3.20%,gainersSedang gainersRendah,603500,volumeRendah,151559200,nilaiRendah,234,freqRendah
265,EURO,Estee Gold Feet Tbk.,Akselerasi,Noncyc,11,127,9.48%,gainersSedang gainersRendah,1571200,volumeRendah,198464100,nilaiRendah,261,freqRendah
266,EXCL,XL Axiata Tbk.,Utama,Infrasctructures,0,2430,0.00%,gainersRendah,17268200,volumeRendah,41769803000,nilaiSedang nilaiRendah,8457,freqSedang freqRendah
267,FAPA,FAP Agri Tbk.,Pengembangan,Noncyc,0,4220,0.00%,gainersRendah,46100,volumeRendah,194869000,nilaiRendah,31,freqRendah
268,FAST,Fast Food Indonesia Tbk.,Pengembangan,Cyclic,0,900,0.00%,gainersRendah,21300,volumeRendah,19158000,nilaiRendah,20,freqRendah
269,FASW,Fajar Surya Wisesa Tbk.,Utama,Basic Materials,0,6150,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
270,FILM,MD Pictures Tbk.,Utama,Cyclic,30,2820,1.08%,gainersRendah,14757100,volumeRendah,41529140000,nilaiSedang nilaiRendah,1024,freqRendah
271,FIMP,Fimperkasa Utama Tbk.,Akselerasi,Infrasctructures,7,77,10.00%,gainersTinggi gainersSedang gainersRendah,18260900,volumeRendah,1356514600,nilaiRendah,2020,freqRendah
272,FIRE,Alfa Energi Investama Tbk.,Pengembangan,Energy,2,240,0.84%,gainersRendah,27508300,volumeSedang volumeRendah,6838817800,nilaiRendah,5280,freqSedang freqRendah
273,FISH,FKS Multi Agro Tbk.,Pengembangan,Noncyc,0,7400,0.00%,gainersRendah,100,volumeRendah,740000,nilaiRendah,1,freqRendah
274,FITT,Hotel Fitra International Tbk.,Pengembangan,Cyclic,6,248,2.48%,gainersSedang gainersRendah,13083600,volumeRendah,3131318200,nilaiRendah,1156,freqRendah
275,FLMC,Falmaco Nonwoven Industri Tbk.,Akselerasi,Noncyc,0,79,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
276,FMII,Fortune Mate Indonesia Tbk,Pengembangan,Properties & Real Estate,-2,310,-0.64%,gainersRendah,800,volumeRendah,247800,nilaiRendah,8,freqRendah
277,FOOD,Sentra Food Indonesia Tbk.,Pengembangan,Noncyc,-1,120,-0.83%,gainersRendah,272300,volumeRendah,32700600,nilaiRendah,56,freqRendah
278,FORU,Fortune Indonesia Tbk,Pengembangan,Cyclic,8,248,3.33%,gainersSedang gainersRendah,1362500,volumeRendah,337989800,nilaiRendah,570,freqRendah
